2016,2012,2008,2004,2000,1996,1992,1988,1984,1980
MMM,MMM,MMM,MMM,MMM,MMM,MMM,MMM,MMM,MMM
AXP,AXP,AXP,AXP,AXP,AXP,AXP,AXP,AXP,JM
AAPL,T,T,SBC,SBC,CVX,CVX,CVX,CVX,CVX
BA,BA,BA,BA,BA,BA,BA,BA,BTI,BTI
CAT,CAT,CAT,CAT,CAT,CAT,CAT,USC,USC,USC
CVX,CVX,CVX,MO,MO,MO,MO,MO,GIS,GIS
CSCO,CSCO,MTLQQ,GMGMQ,GMGMQ,GMGMQ,GMGMQ,GMGMQ,GMGMQ,GMGMQ
KO,KO,KO,KO,KO,KO,KO,KO,OI,OI
DD,DD,DD,DD,DD,DD,DD,DD,DD,DD
XOM,XOM,XOM,XOM,XON,XON,XON,XON,XON,XON
GE,GE,GE,GE,GE,GE,GE,GE,GE,GE
GS,AA,AA,AA,AA,AA,AA,AA,AA,AA
HD,HD,HD,HD,HD,S,S,S,S,S
INTC,INTC,INTC,INTC,INTC,UK,UK,UK,UK,UK
IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM
JNJ,JNJ,JNJ,JNJ,JNJ,BSC,BSC,BSC,BSC,BSC
JPM,JPM,JPM,JPM,JPM,JPM,JPM,NAV,NAV,NAV
MCD,MCD,MCD,MCD,MCD,MCD,MCD,MCD,N,N
MRK,MRK,MRK,MRK,MRK,MRK,MRK,MRK,MRK,MRK
MSFT,MSFT,MSFT,MSFT,MSFT,GT,GT,GT,GT,GT
NKE,BAC,BAC,HON,ALD,ALD,ALD,ALD,ALD,ALD
PFE,PFE,PFE,PFE,T,T,T,T,T,T
PG,PG,PG,PG,PG,PG,PG,PG,PG,PG
TRV,TRV,C,C,C,WX,WX,WX,WX,WX
UNH,UNH,KRFT,AIG,KODK,KODK,KODK,KODK,KODK,KODK
UTX,UTX,UTX,UTX,UTX,UTX,UTX,UTX,UTX,UTX
VZ,VZ,VZ,VZ,IP,IP,IP,IP,IP,IP
V,HPQ,HPQ,HPQ,HPQ,FL,FL,FL,FL,FL
WMT,WMT,WMT,WMT,WMT,TX,TX,TX,TX,TX
DIS,DIS,DIS,DIS,DIS,DIS,DIS,USX,USX,USX
