,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,MMM,"[1.01, 1.01, 0.99, 1.0, 686400]","[0.99, 1.0, 0.99, 1.0, 1828000]","[1.0, 1.01, 0.99, 1.0, 1531200]","[0.99, 0.99, 0.97, 0.97, 3361600]","[0.96, 0.97, 0.96, 0.96, 1093600]","[0.97, 0.98, 0.96, 0.96, 2400000]","[0.96, 0.96, 0.95, 0.96, 1656800]","[0.96, 0.98, 0.95, 0.98, 2223200]","[0.98, 0.99, 0.98, 0.99, 2990400]","[0.98, 0.98, 0.97, 0.98, 1876000]","[0.98, 0.98, 0.96, 0.96, 1950400]","[0.96, 0.98, 0.96, 0.96, 1644000]","[0.96, 0.97, 0.96, 0.96, 4268800]","[0.96, 0.97, 0.94, 0.94, 2319200]","[0.94, 0.96, 0.94, 0.95, 1228800]","[0.95, 0.95, 0.94, 0.94, 1663200]","[0.94, 0.94, 0.93, 0.94, 1959200]","[0.94, 0.94, 0.93, 0.94, 679200]","[0.94, 0.94, 0.92, 0.92, 1201600]","[0.92, 0.93, 0.92, 0.93, 1092800]","[0.93, 0.94, 0.92, 0.92, 2521600]","[0.92, 0.93, 0.92, 0.92, 992800]","[0.93, 0.93, 0.93, 0.93, 988800]","[0.93, 0.94, 0.93, 0.93, 1758400]","[0.94, 0.94, 0.93, 0.94, 427200]","[0.94, 0.95, 0.94, 0.94, 1641600]","[0.95, 0.95, 0.93, 0.95, 1783200]","[0.95, 0.96, 0.95, 0.96, 1801600]","[0.96, 0.97, 0.95, 0.96, 1302400]","[0.96, 0.98, 0.96, 0.98, 1697600]","[0.98, 0.98, 0.96, 0.97, 1136800]","[0.97, 0.98, 0.96, 0.97, 768000]","[0.98, 1.01, 0.97, 1.01, 2640800]","[1.03, 1.04, 1.02, 1.03, 5241600]","[1.02, 1.03, 1.01, 1.01, 1293600]","[1.0, 1.01, 1.0, 1.01, 1836000]","[1.0, 1.01, 1.0, 1.0, 1205600]","[1.0, 1.01, 0.99, 1.01, 1352000]","[1.0, 1.0, 1.0, 1.0, 1062400]","[1.0, 1.0, 0.99, 1.0, 436800]","[1.0, 1.01, 1.0, 1.0, 1187200]","[1.0, 1.01, 0.99, 0.99, 994400]","[1.0, 1.01, 1.0, 1.01, 1137600]","[1.01, 1.03, 1.01, 1.02, 1459200]","[1.02, 1.02, 1.01, 1.02, 1068000]","[1.02, 1.04, 1.02, 1.03, 2390400]","[1.03, 1.03, 1.01, 1.01, 2380000]","[1.01, 1.01, 1.0, 1.01, 1056000]","[1.01, 1.02, 1.0, 1.0, 1437600]","[1.0, 1.01, 1.0, 1.01, 899200]","[1.0, 1.01, 1.0, 1.0, 1346400]","[1.0, 1.01, 1.0, 1.0, 796000]","[1.0, 1.01, 1.0, 1.0, 875200]","[1.01, 1.01, 0.97, 0.98, 1592800]","[0.99, 0.99, 0.98, 0.99, 882400]","[0.99, 1.0, 0.99, 1.0, 1568800]","[1.0, 1.0, 0.98, 1.0, 1633600]","[1.0, 1.02, 1.0, 1.02, 1176800]","[1.02, 1.02, 1.01, 1.02, 1288000]","[1.02, 1.02, 1.02, 1.02, 1130400]","[1.02, 1.02, 1.0, 1.0, 1361600]","[0.99, 0.99, 0.97, 0.98, 1888000]","[0.97, 0.97, 0.96, 0.97, 2052000]","[0.96, 0.97, 0.95, 0.97, 1136800]","[0.97, 0.98, 0.97, 0.97, 1861600]","[0.98, 0.98, 0.97, 0.97, 1212800]","[0.97, 0.97, 0.95, 0.96, 1444800]","[0.96, 0.96, 0.95, 0.96, 720800]","[0.95, 0.97, 0.95, 0.97, 1237600]","[0.97, 0.97, 0.96, 0.97, 929600]","[0.97, 0.97, 0.97, 0.97, 788000]","[0.97, 0.97, 0.96, 0.96, 1483200]","[0.96, 0.98, 0.96, 0.97, 1932000]","[0.98, 0.98, 0.97, 0.98, 2086400]","[0.99, 1.0, 0.98, 1.0, 2958400]","[1.0, 1.0, 0.98, 0.99, 2177600]","[0.99, 1.0, 0.98, 0.98, 887200]","[0.98, 0.98, 0.97, 0.97, 2685600]","[0.98, 0.99, 0.98, 0.99, 549600]","[0.98, 0.99, 0.98, 0.98, 173600]","[0.99, 0.99, 0.97, 0.98, 815200]","[0.98, 0.98, 0.97, 0.98, 1151200]","[0.98, 0.98, 0.97, 0.97, 952000]"
1,AXP,"[0.64, 0.64, 0.63, 0.63, 1958000]","[0.63, 0.64, 0.62, 0.63, 3697800]","[0.64, 0.65, 0.63, 0.64, 8450900]","[0.65, 0.65, 0.63, 0.64, 4071400]","[0.63, 0.64, 0.62, 0.63, 5956800]","[0.65, 0.66, 0.64, 0.64, 13235500]","[0.64, 0.66, 0.64, 0.65, 6526100]","[0.66, 0.69, 0.65, 0.69, 9382800]","[0.69, 0.7, 0.68, 0.69, 13111100]","[0.69, 0.7, 0.68, 0.7, 4387700]","[0.69, 0.7, 0.69, 0.69, 4873000]","[0.69, 0.71, 0.68, 0.69, 6614500]","[0.69, 0.69, 0.68, 0.69, 6348900]","[0.68, 0.7, 0.68, 0.68, 9907900]","[0.68, 0.69, 0.67, 0.67, 4095700]","[0.68, 0.68, 0.67, 0.67, 5144100]","[0.67, 0.69, 0.67, 0.69, 4047400]","[0.7, 0.7, 0.69, 0.69, 5499200]","[0.69, 0.69, 0.68, 0.68, 4900400]","[0.68, 0.68, 0.67, 0.67, 9864300]","[0.67, 0.68, 0.66, 0.66, 3154900]","[0.65, 0.65, 0.64, 0.64, 3868800]","[0.65, 0.65, 0.64, 0.65, 2747000]","[0.65, 0.66, 0.65, 0.65, 3864000]","[0.65, 0.65, 0.64, 0.65, 2500200]","[0.66, 0.66, 0.65, 0.65, 3472600]","[0.65, 0.67, 0.65, 0.67, 4924400]","[0.67, 0.69, 0.67, 0.68, 6766700]","[0.69, 0.7, 0.68, 0.69, 5878300]","[0.69, 0.71, 0.69, 0.7, 7829500]","[0.7, 0.72, 0.7, 0.71, 10050800]","[0.71, 0.72, 0.7, 0.71, 7356500]","[0.72, 0.77, 0.71, 0.77, 12785200]","[0.77, 0.78, 0.73, 0.74, 15061000]","[0.73, 0.75, 0.73, 0.75, 7499400]","[0.75, 0.76, 0.74, 0.74, 5679500]","[0.74, 0.75, 0.74, 0.75, 4601200]","[0.74, 0.75, 0.73, 0.73, 4560100]","[0.72, 0.73, 0.72, 0.72, 3611700]","[0.72, 0.72, 0.71, 0.71, 5255900]","[0.72, 0.73, 0.71, 0.73, 8691500]","[0.72, 0.74, 0.72, 0.74, 5517000]","[0.75, 0.75, 0.74, 0.75, 6445200]","[0.75, 0.76, 0.73, 0.74, 4474800]","[0.74, 0.74, 0.73, 0.74, 4457600]","[0.75, 0.75, 0.73, 0.74, 9312900]","[0.74, 0.74, 0.73, 0.74, 6652500]","[0.73, 0.73, 0.72, 0.73, 4031900]","[0.73, 0.74, 0.72, 0.72, 4195800]","[0.72, 0.73, 0.71, 0.73, 3405100]","[0.73, 0.73, 0.71, 0.71, 3986000]","[0.71, 0.71, 0.68, 0.69, 9980900]","[0.7, 0.7, 0.69, 0.69, 8528300]","[0.7, 0.71, 0.69, 0.69, 5739800]","[0.7, 0.7, 0.69, 0.69, 3373200]","[0.69, 0.71, 0.69, 0.71, 5720600]","[0.72, 0.73, 0.71, 0.73, 6620700]","[0.73, 0.75, 0.73, 0.75, 5537300]","[0.74, 0.74, 0.72, 0.73, 4106300]","[0.73, 0.74, 0.72, 0.73, 3662800]","[0.74, 0.74, 0.72, 0.73, 4931300]","[0.72, 0.73, 0.71, 0.71, 3187400]","[0.71, 0.72, 0.7, 0.71, 2286400]","[0.71, 0.71, 0.7, 0.7, 3636400]","[0.71, 0.71, 0.7, 0.7, 2197900]","[0.71, 0.71, 0.69, 0.69, 2634600]","[0.69, 0.71, 0.69, 0.71, 4116600]","[0.7, 0.71, 0.69, 0.7, 2913200]","[0.7, 0.71, 0.69, 0.71, 4715400]","[0.71, 0.72, 0.71, 0.72, 2981800]","[0.72, 0.72, 0.7, 0.7, 2544400]","[0.71, 0.72, 0.7, 0.7, 3187400]","[0.7, 0.72, 0.7, 0.72, 7277000]","[0.71, 0.72, 0.71, 0.71, 3778700]","[0.72, 0.75, 0.72, 0.75, 1721900]","[0.76, 0.76, 0.75, 0.75, 12109300]","[0.75, 0.76, 0.74, 0.74, 4619700]","[0.74, 0.74, 0.72, 0.73, 5145800]","[0.73, 0.75, 0.73, 0.75, 2250000]","[0.74, 0.75, 0.74, 0.75, 1633400]","[0.75, 0.75, 0.75, 0.75, 3443800]","[0.75, 0.77, 0.75, 0.77, 4933700]","[0.76, 0.77, 0.76, 0.76, 2286400]"
2,CVX,"[0.35, 0.35, 0.34, 0.35, 482400]","[0.34, 0.34, 0.34, 0.34, 1471600]","[0.34, 0.34, 0.34, 0.34, 1081200]","[0.34, 0.34, 0.34, 0.34, 730800]","[0.34, 0.35, 0.34, 0.34, 920400]","[0.35, 0.35, 0.33, 0.33, 1286800]","[0.34, 0.34, 0.33, 0.34, 1810400]","[0.34, 0.35, 0.34, 0.34, 1435200]","[0.35, 0.35, 0.34, 0.35, 2300800]","[0.35, 0.35, 0.34, 0.35, 2187200]","[0.35, 0.35, 0.35, 0.35, 1800400]","[0.35, 0.35, 0.35, 0.35, 1863600]","[0.34, 0.35, 0.34, 0.35, 845200]","[0.35, 0.35, 0.34, 0.34, 1646400]","[0.34, 0.34, 0.34, 0.34, 637600]","[0.34, 0.35, 0.34, 0.35, 1145200]","[0.35, 0.35, 0.35, 0.35, 862400]","[0.35, 0.35, 0.35, 0.35, 603200]","[0.35, 0.35, 0.35, 0.35, 990800]","[0.35, 0.35, 0.34, 0.35, 740400]","[0.35, 0.35, 0.35, 0.35, 1583200]","[0.35, 0.35, 0.35, 0.35, 959200]","[0.35, 0.35, 0.35, 0.35, 541600]","[0.35, 0.35, 0.34, 0.34, 729600]","[0.35, 0.35, 0.34, 0.34, 319200]","[0.34, 0.34, 0.34, 0.34, 572800]","[0.34, 0.34, 0.33, 0.33, 1862000]","[0.33, 0.33, 0.33, 0.33, 648000]","[0.33, 0.34, 0.33, 0.33, 828000]","[0.34, 0.34, 0.33, 0.34, 723600]","[0.34, 0.34, 0.33, 0.33, 624400]","[0.33, 0.33, 0.32, 0.32, 2687200]","[0.32, 0.32, 0.31, 0.32, 2944400]","[0.31, 0.32, 0.31, 0.32, 2899600]","[0.31, 0.32, 0.31, 0.31, 1794800]","[0.31, 0.32, 0.31, 0.31, 1691200]","[0.31, 0.32, 0.31, 0.32, 2056800]","[0.32, 0.32, 0.32, 0.32, 2002000]","[0.32, 0.32, 0.32, 0.32, 778000]","[0.32, 0.32, 0.31, 0.31, 3635600]","[0.31, 0.32, 0.31, 0.32, 4352000]","[0.32, 0.32, 0.31, 0.31, 1746800]","[0.32, 0.32, 0.32, 0.32, 1862800]","[0.32, 0.32, 0.32, 0.32, 1545200]","[0.34, 0.34, 0.34, 0.34, 2096000]","[0.34, 0.35, 0.34, 0.35, 1176800]","[0.34, 0.35, 0.34, 0.34, 1622000]","[0.34, 0.35, 0.34, 0.35, 1149200]","[0.35, 0.35, 0.34, 0.34, 984000]","[0.34, 0.34, 0.34, 0.34, 1080400]","[0.34, 0.34, 0.34, 0.34, 793200]","[0.34, 0.34, 0.34, 0.34, 744000]","[0.34, 0.35, 0.34, 0.35, 1497600]","[0.34, 0.35, 0.34, 0.34, 1166000]","[0.35, 0.35, 0.34, 0.34, 1113600]","[0.34, 0.34, 0.34, 0.34, 1060800]","[0.34, 0.35, 0.34, 0.34, 744000]","[0.35, 0.35, 0.34, 0.35, 1317600]","[0.34, 0.35, 0.34, 0.34, 1122000]","[0.34, 0.34, 0.34, 0.34, 1207200]","[0.34, 0.35, 0.34, 0.34, 1126000]","[0.34, 0.34, 0.34, 0.34, 1039600]","[0.34, 0.34, 0.34, 0.34, 1084800]","[0.34, 0.34, 0.33, 0.33, 1806400]","[0.34, 0.34, 0.33, 0.34, 1145600]","[0.34, 0.34, 0.34, 0.34, 985200]","[0.34, 0.35, 0.34, 0.34, 2405600]","[0.34, 0.34, 0.33, 0.34, 965600]","[0.33, 0.34, 0.33, 0.34, 1158400]","[0.34, 0.34, 0.34, 0.34, 703600]","[0.34, 0.34, 0.33, 0.33, 1230800]","[0.33, 0.33, 0.33, 0.33, 1694800]","[0.33, 0.33, 0.32, 0.32, 1347200]","[0.32, 0.33, 0.32, 0.32, 1121600]","[0.33, 0.33, 0.32, 0.33, 3214400]","[0.33, 0.33, 0.31, 0.32, 1964000]","[0.31, 0.32, 0.31, 0.31, 2254800]","[0.31, 0.32, 0.31, 0.31, 2281200]","[0.31, 0.32, 0.31, 0.32, 1138800]","[0.32, 0.32, 0.32, 0.32, 844400]","[0.32, 0.32, 0.32, 0.32, 1046000]","[0.32, 0.33, 0.32, 0.32, 1202400]","[0.32, 0.33, 0.32, 0.32, 1334800]"
3,BTI,"[0.01, 0.01, 0.01, 0.01, 34000]","[0.01, 0.01, 0.01, 0.01, 137200]","[0.01, 0.01, 0.01, 0.01, 425600]","[0.01, 0.01, 0.01, 0.01, 271200]","[0.01, 0.01, 0.01, 0.01, 118000]","[0.01, 0.01, 0.01, 0.01, 14800]","[0.01, 0.01, 0.01, 0.01, 5600]","[0.01, 0.01, 0.01, 0.01, 25600]","[0.01, 0.01, 0.01, 0.01, 223200]","[0.01, 0.01, 0.01, 0.01, 16400]","[0.01, 0.01, 0.01, 0.01, 18000]","[0.01, 0.01, 0.01, 0.01, 64400]","[0.01, 0.01, 0.01, 0.01, 70000]","[0.01, 0.01, 0.01, 0.01, 236800]","[0.01, 0.01, 0.01, 0.01, 186000]","[0.01, 0.01, 0.01, 0.01, 276000]","[0.01, 0.01, 0.01, 0.01, 68400]","[0.01, 0.01, 0.01, 0.01, 81200]","[0.01, 0.01, 0.01, 0.01, 125600]","[0.01, 0.01, 0.01, 0.01, 135600]","[0.01, 0.01, 0.01, 0.01, 76400]","[0.01, 0.01, 0.01, 0.01, 23600]","[0.01, 0.01, 0.01, 0.01, 81200]","[0.01, 0.01, 0.01, 0.01, 12400]","[0.01, 0.01, 0.01, 0.01, 10000]","[0.01, 0.01, 0.01, 0.01, 80800]","[0.01, 0.01, 0.01, 0.01, 17600]","[0.01, 0.01, 0.01, 0.01, 50000]","[0.01, 0.01, 0.01, 0.01, 17200]","[0.01, 0.01, 0.01, 0.01, 31200]","[0.01, 0.01, 0.01, 0.01, 52800]","[0.01, 0.01, 0.01, 0.01, 337600]","[0.01, 0.01, 0.01, 0.01, 99200]","[0.01, 0.01, 0.01, 0.01, 916800]","[0.01, 0.01, 0.01, 0.01, 32800]","[0.01, 0.01, 0.01, 0.01, 327200]","[0.01, 0.01, 0.01, 0.01, 272400]","[0.01, 0.01, 0.01, 0.01, 316000]","[0.01, 0.01, 0.01, 0.01, 208800]","[0.01, 0.01, 0.01, 0.01, 107600]","[0.01, 0.01, 0.01, 0.01, 32000]","[0.01, 0.01, 0.01, 0.01, 1041600]","[0.01, 0.01, 0.01, 0.01, 563200]","[0.01, 0.01, 0.01, 0.01, 284000]","[0.01, 0.01, 0.01, 0.01, 656400]","[0.01, 0.01, 0.01, 0.01, 646400]","[0.01, 0.01, 0.01, 0.01, 664400]","[0.01, 0.01, 0.01, 0.01, 151600]","[0.01, 0.01, 0.01, 0.01, 68400]","[0.01, 0.01, 0.01, 0.01, 170800]","[0.01, 0.01, 0.01, 0.01, 80800]","[0.01, 0.01, 0.01, 0.01, 104800]","[0.01, 0.01, 0.01, 0.01, 41200]","[0.01, 0.01, 0.01, 0.01, 109600]","[0.01, 0.01, 0.01, 0.01, 60400]","[0.01, 0.01, 0.01, 0.01, 216400]","[0.01, 0.01, 0.01, 0.01, 163600]","[0.01, 0.01, 0.01, 0.01, 463200]","[0.01, 0.01, 0.01, 0.01, 4448400]","[0.01, 0.01, 0.01, 0.01, 426000]","[0.01, 0.01, 0.01, 0.01, 387600]","[0.01, 0.01, 0.01, 0.01, 700800]","[0.01, 0.01, 0.01, 0.01, 304400]","[0.01, 0.01, 0.01, 0.01, 307200]","[0.01, 0.01, 0.01, 0.01, 2542000]","[0.01, 0.01, 0.01, 0.01, 209600]","[0.01, 0.01, 0.01, 0.01, 61600]","[0.01, 0.01, 0.01, 0.01, 64000]","[0.01, 0.01, 0.01, 0.01, 828400]","[0.01, 0.01, 0.01, 0.01, 1257600]","[0.01, 0.01, 0.01, 0.01, 794000]","[0.01, 0.01, 0.01, 0.01, 85200]","[0.01, 0.01, 0.01, 0.01, 1040800]","[0.01, 0.01, 0.01, 0.01, 1410800]","[0.01, 0.01, 0.01, 0.01, 2183200]","[0.01, 0.01, 0.01, 0.01, 2586000]","[0.01, 0.01, 0.01, 0.01, 502400]","[0.01, 0.01, 0.01, 0.01, 660800]","[0.01, 0.01, 0.01, 0.01, 620800]","[0.01, 0.01, 0.01, 0.01, 84000]","[0.01, 0.01, 0.01, 0.01, 156400]","[0.01, 0.01, 0.01, 0.01, 278000]","[0.01, 0.01, 0.01, 0.01, 60000]"
4,USC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,GIS,"[0.04, 0.04, 0.04, 0.04, 536000]","[0.04, 0.04, 0.04, 0.04, 2050000]","[0.04, 0.04, 0.04, 0.04, 1411200]","[0.04, 0.04, 0.04, 0.04, 605600]","[0.04, 0.04, 0.04, 0.04, 834000]","[0.04, 0.04, 0.04, 0.04, 2702400]","[0.04, 0.04, 0.04, 0.04, 592000]","[0.04, 0.04, 0.04, 0.04, 2491200]","[0.04, 0.04, 0.04, 0.04, 3660400]","[0.04, 0.04, 0.04, 0.04, 2404000]","[0.04, 0.04, 0.04, 0.04, 1339600]","[0.04, 0.05, 0.04, 0.05, 1412800]","[0.05, 0.05, 0.04, 0.05, 1686000]","[0.05, 0.05, 0.04, 0.05, 1176800]","[0.04, 0.04, 0.04, 0.04, 814800]","[0.04, 0.04, 0.04, 0.04, 4402000]","[0.04, 0.04, 0.04, 0.04, 2200800]","[0.04, 0.04, 0.04, 0.04, 4537600]","[0.04, 0.04, 0.04, 0.04, 998800]","[0.04, 0.04, 0.04, 0.04, 1254400]","[0.04, 0.04, 0.04, 0.04, 508800]","[0.04, 0.04, 0.04, 0.04, 427600]","[0.04, 0.04, 0.04, 0.04, 698800]","[0.04, 0.04, 0.04, 0.04, 1056800]","[0.04, 0.04, 0.04, 0.04, 129600]","[0.04, 0.04, 0.04, 0.04, 1515600]","[0.04, 0.04, 0.04, 0.04, 1314400]","[0.04, 0.04, 0.04, 0.04, 590400]","[0.04, 0.04, 0.04, 0.04, 272800]","[0.04, 0.04, 0.04, 0.04, 371600]","[0.04, 0.04, 0.04, 0.04, 720000]","[0.04, 0.04, 0.04, 0.04, 675600]","[0.04, 0.04, 0.04, 0.04, 2729200]","[0.04, 0.04, 0.04, 0.04, 1459600]","[0.04, 0.04, 0.04, 0.04, 2050000]","[0.04, 0.05, 0.04, 0.04, 1314400]","[0.04, 0.05, 0.04, 0.04, 1010400]","[0.04, 0.04, 0.04, 0.04, 8546800]","[0.04, 0.04, 0.04, 0.04, 3770800]","[0.04, 0.04, 0.04, 0.04, 1140000]","[0.04, 0.04, 0.04, 0.04, 2940400]","[0.04, 0.04, 0.04, 0.04, 1087600]","[0.04, 0.04, 0.04, 0.04, 778000]","[0.04, 0.04, 0.04, 0.04, 1765200]","[0.04, 0.04, 0.04, 0.04, 431600]","[0.04, 0.04, 0.04, 0.04, 1686000]","[0.04, 0.04, 0.04, 0.04, 2053600]","[0.04, 0.04, 0.04, 0.04, 1469200]","[0.04, 0.04, 0.04, 0.04, 3281200]","[0.04, 0.04, 0.04, 0.04, 545600]","[0.04, 0.04, 0.04, 0.04, 567200]","[0.04, 0.04, 0.04, 0.04, 2249200]","[0.04, 0.04, 0.04, 0.04, 3281200]","[0.04, 0.04, 0.04, 0.04, 8337600]","[0.04, 0.04, 0.04, 0.04, 932800]","[0.04, 0.04, 0.04, 0.04, 2890000]","[0.04, 0.04, 0.04, 0.04, 1734400]","[0.04, 0.04, 0.04, 0.04, 3753600]","[0.04, 0.04, 0.04, 0.04, 1546400]","[0.04, 0.04, 0.04, 0.04, 882400]","[0.04, 0.04, 0.04, 0.04, 1204000]","[0.04, 0.04, 0.04, 0.04, 814800]","[0.04, 0.04, 0.04, 0.04, 791600]","[0.04, 0.04, 0.04, 0.04, 718000]","[0.04, 0.04, 0.04, 0.04, 5104800]","[0.04, 0.04, 0.04, 0.04, 3933600]","[0.04, 0.04, 0.04, 0.04, 2562800]","[0.04, 0.04, 0.04, 0.04, 996800]","[0.04, 0.04, 0.04, 0.04, 1120800]","[0.04, 0.04, 0.04, 0.04, 1171200]","[0.04, 0.04, 0.04, 0.04, 1798400]","[0.04, 0.04, 0.04, 0.04, 996800]","[0.04, 0.04, 0.04, 0.04, 2440800]","[0.04, 0.04, 0.04, 0.04, 1066400]","[0.04, 0.04, 0.04, 0.04, 3498000]","[0.04, 0.04, 0.04, 0.04, 4272400]","[0.04, 0.04, 0.04, 0.04, 5710800]","[0.04, 0.04, 0.04, 0.04, 2404000]","[0.04, 0.04, 0.04, 0.04, 243600]","[0.04, 0.04, 0.04, 0.04, 439200]","[0.04, 0.04, 0.04, 0.04, 439200]","[0.04, 0.04, 0.04, 0.04, 524400]","[0.04, 0.04, 0.04, 0.04, 1635600]"
6,GMGMQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DD,"[1.72, 1.73, 1.71, 1.72, 977100]","[1.72, 1.72, 1.7, 1.71, 945500]","[1.72, 1.75, 1.72, 1.74, 1259200]","[1.75, 1.76, 1.68, 1.7, 1383700]","[1.7, 1.72, 1.68, 1.7, 1394300]","[1.73, 1.73, 1.68, 1.68, 1097900]","[1.64, 1.68, 1.62, 1.63, 2052100]","[1.63, 1.66, 1.62, 1.65, 2523900]","[1.64, 1.64, 1.62, 1.62, 2739900]","[1.63, 1.63, 1.59, 1.62, 1379100]","[1.61, 1.61, 1.59, 1.6, 1620900]","[1.58, 1.6, 1.55, 1.56, 2296000]","[1.55, 1.59, 1.54, 1.56, 1769500]","[1.55, 1.6, 1.55, 1.56, 6734400]","[1.56, 1.59, 1.56, 1.58, 1744600]","[1.57, 1.58, 1.52, 1.54, 2511000]","[1.54, 1.56, 1.54, 1.55, 1110900]","[1.56, 1.61, 1.56, 1.58, 1338000]","[1.58, 1.6, 1.56, 1.58, 671700]","[1.58, 1.58, 1.56, 1.58, 1000900]","[1.57, 1.58, 1.53, 1.54, 969300]","[1.54, 1.55, 1.51, 1.53, 674600]","[1.54, 1.56, 1.54, 1.54, 749500]","[1.56, 1.57, 1.55, 1.56, 722300]","[1.55, 1.57, 1.55, 1.56, 562100]","[1.57, 1.58, 1.54, 1.55, 799400]","[1.56, 1.57, 1.51, 1.54, 1164100]","[1.55, 1.56, 1.52, 1.53, 481800]","[1.54, 1.56, 1.54, 1.56, 708400]","[1.54, 1.58, 1.54, 1.57, 844300]","[1.57, 1.59, 1.56, 1.58, 722300]","[1.58, 1.64, 1.58, 1.61, 758700]","[1.63, 1.67, 1.61, 1.67, 1866600]","[1.7, 1.7, 1.64, 1.67, 2368300]","[1.67, 1.7, 1.66, 1.68, 1513700]","[1.68, 1.7, 1.65, 1.67, 1884900]","[1.66, 1.68, 1.65, 1.65, 795000]","[1.66, 1.68, 1.65, 1.65, 977600]","[1.64, 1.65, 1.62, 1.63, 710300]","[1.63, 1.65, 1.62, 1.63, 326200]","[1.65, 1.68, 1.64, 1.66, 783600]","[1.67, 1.67, 1.62, 1.63, 1150800]","[1.64, 1.65, 1.63, 1.64, 641300]","[1.64, 1.64, 1.62, 1.63, 988500]","[1.63, 1.65, 1.63, 1.65, 778500]","[1.66, 1.68, 1.65, 1.68, 2035400]","[1.68, 1.69, 1.66, 1.69, 1781900]","[1.69, 1.69, 1.66, 1.68, 1123800]","[1.68, 1.69, 1.65, 1.65, 718900]","[1.63, 1.65, 1.63, 1.65, 537000]","[1.64, 1.65, 1.61, 1.62, 1166000]","[1.62, 1.63, 1.61, 1.61, 972500]","[1.61, 1.63, 1.58, 1.59, 1147000]","[1.59, 1.61, 1.56, 1.56, 1092600]","[1.57, 1.6, 1.56, 1.58, 638000]","[1.59, 1.62, 1.59, 1.61, 767000]","[1.61, 1.63, 1.61, 1.63, 693200]","[1.63, 1.65, 1.63, 1.65, 1188900]","[1.66, 1.66, 1.64, 1.65, 1445000]","[1.66, 1.66, 1.63, 1.65, 3743400]","[1.66, 1.66, 1.64, 1.65, 5270500]","[1.65, 1.65, 1.61, 1.62, 516800]","[1.61, 1.62, 1.6, 1.61, 791600]","[1.61, 1.62, 1.6, 1.6, 1000900]","[1.6, 1.62, 1.6, 1.6, 1029600]","[1.6, 1.61, 1.57, 1.57, 835900]","[1.57, 1.61, 1.57, 1.58, 740600]","[1.58, 1.6, 1.56, 1.56, 914300]","[1.55, 1.58, 1.54, 1.56, 1358900]","[1.56, 1.56, 1.54, 1.54, 774800]","[1.54, 1.56, 1.54, 1.55, 860100]","[1.55, 1.56, 1.53, 1.53, 765300]","[1.52, 1.55, 1.51, 1.52, 1045200]","[1.53, 1.56, 1.52, 1.55, 768400]","[1.56, 1.61, 1.56, 1.61, 1453100]","[1.61, 1.61, 1.58, 1.6, 1307800]","[1.58, 1.61, 1.58, 1.6, 842400]","[1.6, 1.61, 1.53, 1.58, 1974100]","[1.58, 1.59, 1.57, 1.57, 748000]","[1.57, 1.58, 1.55, 1.57, 479400]","[1.56, 1.57, 1.55, 1.55, 535700]","[1.55, 1.56, 1.54, 1.55, 678000]","[1.55, 1.57, 1.55, 1.57, 1145100]"
9,XON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
