,TICKER,YEAR,CODE,SECTOR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
10,GE,2016,DR,Industrials,27820600,40428600,37564800,20585800,32372800,25934300,29211400,39353700,35341100,32179800,23664800,29528300,29308600,41321900,28664800,30355500,29570600,66719300,32385200,27539900,25331400,26450200,70585600,45306200,33291200,32108200,23920700,37299400,42904300,37262500,56208300,84577700,44420800,39250100,41793400,26276400,18547400,29727200,23021700,28830100,25244000,13687900,22976400,32680600,47462300,46490000,22257000,23023800,18276200,34212800,29270900,32476400,32282300,35880400,45422300,45112400,74855200,36349800,41410900,29083200,
11,GS,2016,DR,Financials,1678100,3733800,4497200,2444700,2469900,2548200,2858000,3390200,2532000,2680000,2404000,2713700,5282300,3061400,4482500,3676000,2471100,2004400,1943200,2423300,2533800,3021900,2042800,1828200,2900600,2104800,1972700,1846500,3338800,2646200,7823800,11345400,6290200,8248100,4893800,5276200,3572400,4278200,2860200,2945700,3717400,1974000,3297400,2577600,6507900,7606500,5297400,4599300,5259300,6595200,7343700,5456000,5022000,4680500,6172400,4829700,6876400,3743300,4487700,3277800,
12,HD,2016,DR,Consumer Discretionary,5751100,5987500,6044600,3652700,4848600,4115400,7472400,5511900,4349700,5113900,3545900,3655700,4462100,3753000,3563300,4094800,3543200,3234100,3824800,8731900,5456100,4261600,4497700,5671500,7492600,4846000,5113500,4607600,5510400,6105900,8052500,8737000,5496100,11438500,13445400,9793400,6801200,4428900,4072100,5535800,3582700,2545800,4859000,4127100,6973800,5398700,3738300,4065400,4292600,6987300,4975400,5174600,6276500,6886300,7036300,5839800,9429300,3463600,4301500,2704700,
13,INTC,2016,DR,Information Technology,19020800,17675000,24279300,14113600,14393100,22420800,15171400,16942500,14954300,27650500,14053900,16936000,19123900,15788100,42907800,75229000,25669500,20813200,21524700,17860300,19977600,14634700,22296400,19188600,25368200,21416400,19400000,21914700,19296600,14833100,25999400,28249900,22665000,22558900,20676100,18565500,15748500,16806900,14259500,22327400,15843100,6372800,13549000,19581000,27016100,29618700,21492500,14462000,15297700,21710300,19966500,16326900,21985800,35773600,30819400,23721500,38212800,18744300,18551800,14323600,
14,IBM,2016,DR,Information Technology,3310000,3374800,3596900,2227800,2884100,1684500,1950100,2671900,2481300,2901300,2964000,2909900,4358200,5890400,12770600,4632900,4023100,4414200,2666700,2647500,2811700,4229300,3654500,3553200,3191900,3074400,2878800,2470400,3804900,3921900,5403700,7715800,4446600,5196500,3477000,2252800,2261200,2981600,4637100,2770800,2252700,1605300,4449400,3148200,4397800,4635700,2740900,3447100,2859000,4435100,3266400,3146900,3392300,5932300,4124200,3388600,7120600,2955900,2174600,3575700,
15,JNJ,2016,DR,Health Care,5076100,6190200,7941100,6098600,5733900,5778700,4448500,4799300,3657000,6394200,4685200,7387400,5640500,6956400,12598300,7400900,6973000,8422000,6141900,5595000,6429200,7548700,8813300,8552500,7591900,6591300,6227100,7160600,6398200,6675300,16220000,11904500,8134800,10054900,7446700,6594800,5730300,7717800,5843300,11649700,7892600,3433300,9065700,7799600,11178500,8143300,6167700,5451600,6530400,11761100,7774900,7672100,9544600,7051600,9378700,6738100,11291100,6310800,5715200,5907600,
16,JPM,2016,DR,Financials,11278000,18727200,21680100,14901700,17226900,16280000,17485000,18497000,13027500,15657100,11899800,17890000,24163800,14963400,11870300,12705800,14122000,12175700,10197100,9945100,9801300,14210700,12766500,14336300,15564500,12449800,10369700,13571300,16515100,17531700,50948400,56192300,27574300,46130700,28126300,26054900,19306700,19770000,11983500,14410100,13373700,6185700,13007200,14144100,25351900,23823600,16931500,18529800,16130000,18996900,20844900,14567200,14511300,16669000,22622600,19438900,23008500,21685100,14587300,11400500,
17,MCD,2016,DR,Consumer Discretionary,5638900,4924400,4188700,3085800,4742900,3720300,3900000,4153100,3290300,3943300,3340200,4464700,5312500,5655700,6198400,6433400,7250700,10108000,6173500,4879000,3763100,2960700,3304700,4181600,3935600,3512500,3890700,3457400,3842400,3300200,5099500,4437700,4331200,7093200,4447900,5371100,2836600,3655400,3603300,3699100,2860200,1709100,5931700,6370900,5696100,4445000,3348700,5191900,3368000,4059900,3255100,2623700,4172000,4308000,4967400,4402800,10793800,3545500,2768800,2762800,
18,MRK,2016,DR,Health Care,11795000,10930000,13605300,7520100,7897400,7871300,11430500,10775200,20345900,13955400,10121900,14541500,12204200,13054600,9988000,5582700,6323400,7406700,9943000,15188500,9957800,10350700,20358400,14254800,14347400,10724700,11323000,11318600,10478300,7942100,27851100,17862300,14059700,10124500,7290400,10780200,8361300,7696900,6836700,9592200,9149000,3501300,7449400,10034900,12530700,8398900,7993100,12985200,10659600,14049600,8586600,10516400,8246000,7842200,11080700,8509400,17563700,11939000,10377100,12052200,
19,MSFT,2016,DR,Information Technology,20536400,25463500,29910800,19189500,20085900,16726400,16212600,20089000,18196500,26497400,22177500,25313700,27402500,23830000,19149500,22878400,49455600,80032200,54067000,35137200,29911600,28479900,33574700,26434700,24533000,22147000,21600400,28697000,31664800,22935400,49632500,57822400,38767800,41328400,35904100,27332500,32132700,27686300,19652600,23206700,21848900,8409600,20732600,22366700,34655400,34542100,25515700,23552700,19907000,30809000,21220800,27349400,20198100,35718900,30352700,27669900,42453100,34338200,26028400,17096300,
20,NKE,2016,DR,Consumer Discretionary,33213000,16993900,12940200,7632500,10737400,7244100,9391700,8407100,5469300,9203500,9301300,8425800,7133800,7904000,6805200,6999000,6590500,9161000,7578200,14975300,12401100,7939200,9096700,17931300,14100400,10775900,7678700,9925200,8358700,8111400,9058600,12316100,6300600,8063900,9299800,6760300,7671600,7461600,5357200,5228100,4141600,2736800,8602100,6065700,8198400,7610100,6933300,12031200,12496300,10412600,9260900,5869800,11459500,11442300,8012800,9567500,13984900,9451700,15984100,23236400,
21,PFE,2016,DR,Health Care,14307800,25044000,28594000,17896000,20901100,13945300,15948600,14819700,16383700,17332100,15138800,24182300,15569300,16923500,14823600,16363800,19292400,18835000,19586400,19336100,17102700,18253000,28508700,35949400,54350100,36084500,36329200,35028200,30877500,35451300,118753800,67275200,35803600,30568400,29614300,22641600,26093500,24156400,21872800,26434800,21252300,10452900,17735200,21642200,38519500,30606400,19007800,19300300,17706800,44053700,35493000,29350800,32255700,28760300,36347100,20877100,37585400,24930700,25074300,18739700,
22,PG,2016,DR,Consumer Staples,89806000,74587500,123735700,26789500,23317600,64580300,61462800,20518800,15492400,11723100,17118000,11158100,7369000,7610600,10749500,12788800,10175100,13974100,10573200,20761200,8464100,6598300,7021100,8207100,8564500,7773200,6899900,9378100,8878500,7674600,11972500,22095000,8905700,12862500,9464000,8542900,9083700,14565500,11482100,7426500,7693300,3882900,6990100,6183100,12115500,12516900,9079400,8597500,7327200,8567700,7522800,8004500,7494100,11795900,12292200,8768100,21172400,6431200,7485400,6099300,
23,TRV,2016,DR,Financials,862000,1212600,1361200,1234600,1532700,1098700,1336200,1604500,803600,1180700,1468100,1237200,1350600,1350000,1454000,2728800,4606500,3768300,2524800,2569800,2644600,2546000,2245100,2162100,2564600,1718600,1691100,1864900,1804200,2082600,3662200,2748900,1962300,3220100,1823900,1717300,1505600,1718000,1388200,1647700,1004600,686300,1467300,1783400,2756400,2347500,1885300,2041500,1785800,2316800,2046200,2138800,1890900,2383700,2393500,1856400,3222000,1399800,1132700,1575300,
24,UNH,2016,DR,Health Care,1990400,2201000,4164100,2724400,2452600,4625600,4025300,2568700,2586000,3353600,4287900,3425700,3452900,3602500,10141900,5796000,5203700,3331800,2930200,3095400,3267600,3358000,4033600,3761100,3391400,3149700,2989700,3520700,3896600,4389300,8042400,6075500,4475400,5740400,4910700,3899000,4683000,5664800,3867800,4992100,2697200,1664500,5029600,5827400,7142400,5250200,3480000,5854200,3216700,4552300,3407500,4007200,3471200,3868900,3885700,4422700,7605300,4732600,3131200,2767700,
25,UTX,2016,DR,Industrials,5010700,3720000,5053500,3971700,3204200,2744100,3651500,3938200,4517800,4314800,3818200,3768200,3172000,2452400,3043800,4013900,3876700,4095000,4288100,6752300,3734100,3550000,4449100,4014500,4044500,4115500,2444200,2607800,4226200,2524200,5003900,6105600,4149900,4138500,3795600,2707500,2226500,2677500,2177400,2640700,2378500,1008700,2453500,3133900,4112100,4055600,3124400,3077800,2179500,4261800,3168500,3428300,4478700,3807600,2761200,3611100,7986200,3838300,2256000,2078700,
26,VZ,2016,DR,Communication Services,13279100,10804700,13077600,9120300,13753300,17190900,11724000,13816800,10687700,11737900,8880100,11156900,8853200,10724600,10873900,10364900,27098200,24785000,19414700,16441200,15049200,22330700,10660100,12459400,13229400,16488200,12605100,14410200,14705200,9482400,20871900,24311700,16425500,21820200,18672200,17328400,12436300,12820600,10773300,22030000,21456700,8087100,15982400,11532800,20698900,12982800,10650700,13074700,13581500,16280600,11502900,10101500,16186400,12211500,19920400,13963600,21262500,13407000,10366900,9656700,
27,V,2016,DR,Information Technology,7974300,5885400,9776800,8155400,5772000,6163400,7687100,8238100,7371500,6227400,3923600,6810900,6698100,8473700,11680400,8440900,6945200,8043200,16267000,15085900,8748400,7039200,10919600,10024000,10881500,9170900,7563100,7588100,7277900,7152000,12158500,17171600,7368000,21773500,18523400,9997700,8081800,7920800,8942100,18133900,12802600,6495700,11793100,8575200,15353900,21053000,13629600,12119200,13896600,13919800,13320100,10728300,11942300,12995100,20146200,14070900,19141700,8699100,6917400,9343600,
28,WMT,2016,DR,Consumer Staples,6184900,7996800,9982600,5857700,6569300,6464400,20110300,12653800,8988400,8591500,8940700,9193800,6416000,7493400,7857700,7123300,6294000,7844600,7163600,7629700,5050500,7131600,6952900,6389000,8838600,7645300,6803900,7262100,9755400,7621300,16779500,14321300,8223900,12917500,9725100,11192400,23440300,11135300,8356000,10984000,7398900,4234400,7099200,7310100,9326100,6849800,6674200,10527900,7778000,6966200,6844200,10756700,9084100,8887500,8669400,7136300,17844800,5889300,6108100,5101000,
29,DIS,2016,DR,Communication Services,8272300,7476600,8923700,5834700,5903400,5365000,7484800,6144100,4241000,6651100,6836600,5725200,4345700,5134600,4890800,6140500,6153200,13814500,7281000,6380700,7152800,6647000,7309100,9957600,6449800,6716200,7751400,7456500,6996100,6226900,8635700,13777900,23008100,13208400,7184600,9702400,8662600,8586100,10771100,5323700,5897400,4396800,7106700,8396800,11369200,9958100,7737200,11331500,8427500,12255700,16524800,12173900,7880200,7393200,7961900,8745400,12635500,11475600,8947300,5202400,
30,MMM,2012,DD,Industrials,3037400,3800400,2612900,2081400,2559500,3900600,3602300,2610300,2531400,3663600,2607600,2989500,2561600,2429200,2566100,2916300,2857500,3191800,2538800,3804100,3130800,5866000,3321300,4613900,3592600,3360400,3306600,3051900,2387800,2806100,4593100,3005900,3176400,2220100,2985900,2882700,3291600,5237100,2688600,2035100,2011300,1101100,1910200,2504200,2426200,2364000,2284900,1929200,1969800,2996600,2027700,2476400,2847700,3821600,4064900,2621400,2709000,2750700,2800000,3254800,
31,AXP,2012,DD,Financials,5400400,4880400,5198300,6122500,5443400,4868500,4481800,4539900,3811300,4761600,3231400,4294700,3936100,3889700,4401400,5762200,4523800,5457500,9677100,8126600,5003200,8745800,5726800,3648400,5576000,5706700,6967100,6106600,3748300,5092900,7765500,4532000,4701100,3291800,4567600,5839400,4753100,6563200,7380300,4039400,3461400,1487600,5183600,9897200,7216000,4587700,5716100,4954600,3912300,5667500,3854400,3689200,3784000,4342800,5941700,4725900,5063200,5799100,7184000,6768200,
32,T,2012,DD,Communication Services,20126200,17693700,24688900,28532800,59909900,53520100,20509500,21572900,20322700,20824800,15015300,23385100,19894500,29416800,37074200,46233400,28296900,22662400,26911000,27580100,20800800,23734100,36018300,22342700,18839200,20591400,23895800,28329400,17674700,19179000,45957200,36669200,31871300,19995900,23021200,25150900,26051100,32351100,21731800,20489800,27868900,21697600,34852800,26506100,30828500,29542600,36130600,19611800,21290900,29170900,23415000,22337700,20842600,23725800,24038700,18939300,26190800,24809000,34858000,25205500,
33,BA,2012,DD,Industrials,5037900,4085900,5256400,4147700,4057500,4012100,3077900,3106400,2818300,3741600,2838800,4116600,3642600,3183200,4345600,3858000,4799300,6061500,3414200,5407000,4419800,4544900,8346600,8191500,4389000,3778700,3992800,4400400,3833000,4923700,6675400,7363500,10269800,6497600,7293400,6063100,3928100,4856300,3475700,3161000,3119800,1579200,3709100,5353500,4245900,2998900,3863400,3721600,3827700,3818800,3895400,3718000,5323800,5960300,5191300,4977600,4209300,5537800,5767500,6075200,
34,CAT,2012,DD,Industrials,8604700,13936300,8864800,7585300,7519300,7385000,8819000,5584500,5076900,6547700,4532600,5810600,10634900,7643800,6012400,6357300,6943000,7339000,6813600,9874300,17158300,7496100,5509000,5983300,7165300,5914600,8550000,6982000,4044600,7048900,8209200,6240600,7282200,5800500,7695300,8497000,7794600,8050900,5674800,5535900,4517100,2663700,4240800,4195600,4884700,7846300,5663400,4714100,4468400,8604400,4132300,7337200,4336600,5371600,7093300,6100000,5866400,6092800,6653300,7065800,
35,CVX,2012,DD,Energy,6808800,7565400,5586700,5482200,5626800,4914900,6012400,7362500,5425700,4507900,3434900,5983500,15959000,7279900,5915800,5775100,4793300,5218200,6166900,7160000,4811900,8011000,5087900,4888600,4777600,5958500,6480500,8375300,4058300,5379400,7627300,6208900,5835100,4001800,4834200,8609400,9774300,8242400,6850900,5283800,3656400,2776400,4354100,6612400,7024200,5756200,6676400,5736400,6665100,6430800,7392300,4947300,5512100,5922700,5968200,4909800,5889300,6097100,7102700,7623200,
36,CSCO,2012,DD,Information Technology,32180400,33991600,30273700,29813600,61124700,37481100,34712100,33816700,29734700,27750400,24170900,42377800,42085700,28339700,27099200,27799100,28580200,28359400,40270300,63724300,26334500,33985300,61961200,46349800,31188400,36797100,32484300,28769400,22190800,35544700,49610000,56064800,43085800,28768400,72206200,97058200,55885900,60820500,40616400,30378100,30479300,17263100,34603000,53080000,41262800,32450600,45199100,32381500,34313500,36982900,35834800,50602300,62863500,58464200,38701100,37844200,40804400,46857100,41963100,38097400,
37,KO,2012,DD,Consumer Staples,21902000,20299200,16677400,15176100,22721200,16671400,10276000,13637100,9654500,12287900,9434600,13078700,13754500,10843800,12059700,13785100,25811800,15449600,23063300,19864500,13340500,13287300,13531400,10457900,11896500,11643500,10622300,11237500,12139600,11448400,16745000,12921700,11520300,10169700,12105200,13508300,17643600,15624800,14076200,12278600,8631300,5365500,13217000,11873700,14846300,12433700,13039500,12864900,11794200,14561400,8974700,10654700,8603200,10671300,14681700,11442100,11800900,17588900,17952100,17991900,
38,DD,2012,DD,Materials,4369700,7418800,6399400,6654000,5572600,5694900,4314700,7437000,5221600,4981300,3389400,7814500,6914100,3352500,3406200,3421900,13455200,9215500,5433700,6181800,4634500,7763000,14501400,5290800,6601300,4469100,5300000,9671200,4312900,6028400,8735100,5212100,4862300,4170000,7049600,7094700,6368600,8466900,5898800,4140500,3183300,2271400,3897000,5342700,4306400,3887300,4017400,8634600,4084900,4311600,2857900,4722600,3882100,5770400,6323900,4300500,5233800,5535000,9391200,7162400,
39,XOM,2012,DD,Energy,11023700,14035800,11616500,10632700,12507600,10343500,9507800,10328100,11507100,9890100,8765200,13799200,15332500,9789900,9943700,10651100,9069300,10759100,11815500,15928100,11445400,14085500,11332500,10387200,11583000,14848500,15771900,12742400,11222600,12026500,19423500,13743000,13407000,9004300,12260300,14524100,13783600,17405200,12911000,10288100,13905300,11931000,16423600,11841600,15959900,11579100,15522100,10937300,11980000,12717800,12077000,10603100,11549400,12634600,14729500,12290300,13363600,15672500,15396600,15092500,
40,GE,2012,DD,Industrials,38271700,48920700,42768200,69992400,73763100,44252700,47109200,34246500,41958300,39845000,25170200,40743000,34095400,25128200,34272700,30761700,37095500,29403400,44866300,112195000,90204500,58549100,43987300,47600300,44540400,40746400,48080500,49374200,31200100,34042500,47063500,42401500,41919000,22689000,42716200,68161000,53830700,47099000,39814700,27919700,42661200,36874700,49650900,34321700,36174000,28738100,39371200,31181100,38289800,48325100,34061200,34890500,28708400,47587400,44110100,35324600,49438000,50423000,84363900,96023900,
41,AA,2012,DD,Materials,6508800,9658600,10669900,7692600,6289800,7077400,5726300,6060400,10162200,8028500,5930900,13392200,20046400,6493000,6406400,6082100,6966400,6821300,6549800,6584800,6622200,9751900,8422500,5063400,5914200,6689300,7450800,5672700,6930700,8255400,10295100,7733400,7589300,3571900,4620800,5899000,6158400,9535300,6078400,5880200,3583300,3254800,4981800,4495600,7274100,5616400,5077200,5679000,4577700,7193700,4955900,5063400,4949000,7159300,5983500,5073900,5526300,6810100,7797000,11409900,
42,HD,2012,DD,Consumer Discretionary,5589200,9723100,8583300,5824200,7740800,8537400,6573100,8468300,8722300,9672400,9770300,9707700,15262700,10431000,6554400,8072200,7162400,11372700,9420000,10798800,7785800,8273900,7187200,9604000,10458600,13817800,6879900,8905700,4904200,7017900,8778000,7251300,6562300,8353500,21441300,13379700,8204600,9059100,10036100,8560400,5574000,3721900,6719200,8234300,7759600,7629200,9271800,6696200,7787600,6050500,5837400,6092800,8150000,6880200,7216500,5875900,5783500,8188700,7751400,7597900,
43,INTC,2012,DD,Information Technology,48846500,49535100,49734700,43872200,47920800,55261300,36381100,49772700,52980100,38344600,29698200,66317400,47188900,36817700,46274000,49513800,80707000,99053800,42921800,55622300,36500300,47194400,33237800,79226400,92415400,40612800,50359300,51737600,48797400,49860500,70960100,38090000,35017900,27267000,56379200,58961300,45733800,50855500,69433800,85743300,95636000,51711900,67047900,44893200,43226300,64926300,51427800,50637000,57942400,45847000,46291200,41701200,27273200,51036500,48354700,41607600,34149500,34959900,41601200,52804600,
44,IBM,2012,DD,Information Technology,3511100,3345200,3423300,2771900,4910900,5456900,3321000,3192300,2957500,2858400,1982600,3580400,4024500,2910000,2712000,3060900,5632100,12673900,9295900,6620300,4402500,4427400,3738000,3249600,4006500,6052300,3758800,4260100,2736200,3281000,4746200,3542200,3671600,3067400,3406700,4404400,3411700,4660800,3588900,3170200,5189600,3877600,5210300,3290900,3603600,4077900,4936400,3349600,3990700,4202100,3216600,4091300,3438500,4144000,4241900,3623200,3826900,3792400,4125900,4270500,
45,JNJ,2012,DD,Health Care,9082100,11625400,9971900,8253200,10293200,9647200,10062700,8557900,9395900,9429900,6444600,15365900,10710100,9505500,8685500,14868000,13688800,26522700,33591100,18391000,14033400,11086000,8572000,9672700,8965200,9950600,11226000,7946700,6874500,7927500,12719700,12652100,10511700,9761000,8244500,10470700,11803600,14272300,12337400,9859500,7639900,5450100,9884800,8763200,9983200,9853400,13480700,9928900,14278100,11037100,9459200,10021300,9700300,14933700,11783300,8838900,10263600,14317200,16352400,11865600,
46,JPM,2012,DD,Financials,20499500,21988200,23782700,20843400,21380700,21956400,26946100,22419100,24326500,22774400,18631300,19947500,25797600,27755000,44564000,26268000,28588100,26177500,23630400,29747500,27993000,22896400,18918900,17311700,21892700,19423500,23325400,17029200,13252500,17190900,47631200,27830900,27553200,12816000,19793500,30986600,24858700,32458000,26781200,19375900,13030200,8316700,20376600,19875000,26106900,18915000,20066600,18955500,24031100,25515600,20541700,34552900,22394500,21955000,23110600,18457000,16208600,23879800,33858600,34348500,
47,MCD,2012,DD,Consumer Discretionary,3722000,4714600,4392000,3840400,9523600,4939800,5979500,6337400,4478300,4166200,3894900,7048900,6712100,4274400,3411100,5630700,4678900,5623700,6817600,19495400,8142400,7763800,6498000,4978800,7684500,6899300,7374900,7908400,5039100,5581600,5971900,11398400,11030400,4101900,4842300,8157000,7639100,6909300,5559800,5822800,3900700,2474400,5619200,4633200,7155400,4873900,7369800,6638100,6109700,5349700,6580200,8086500,9276400,7333000,4219500,4639700,4364600,5956500,5340500,5152900,
48,MRK,2012,DD,Health Care,9989300,12805200,12652800,9834300,12497300,8553700,7429500,8455800,8953800,11893000,7033700,10030900,9475300,7022600,6844300,10281300,11954200,10132900,10986100,12976500,14021400,12504200,9639700,10971500,11940500,13535000,12166000,11050500,8981200,8735300,24067900,16329900,13995200,7329800,9599100,14206900,12283200,16636500,9189700,10905100,7288000,4477800,9381100,8869200,10614800,9559500,15017200,11620100,9996900,11647000,8817000,7869500,9347500,13583500,11250000,13744400,13186000,13280200,14081000,11693100,
49,MSFT,2012,DD,Information Technology,46825900,54266400,54672000,47129900,54229300,54042700,43338900,46655900,43634900,41133900,29752000,45121100,47227100,41488500,46464700,42440200,47739400,44206100,59238500,90470800,83374000,64414800,53320400,54084300,57790000,69464100,72047900,57131600,38070800,43401500,57871800,49841800,43291200,61112300,131689200,76086100,50955600,64083300,57179300,47070400,66360300,57845700,85198700,45018600,53018400,69551400,83690200,53173800,49777500,68283800,39182300,46162100,47031100,52282800,43966300,45080100,42077500,42046100,50486900,53519900,
50,BAC,2012,DD,Financials,113331700,146678000,158640100,119023800,119039200,133194500,109601600,115670100,160486300,204255800,81944200,153036100,110640900,122925800,158562500,154458500,172663600,229733500,149739000,169451300,132617600,160627600,120868300,121778900,124687200,94925500,205700000,220993300,121104400,132533500,286124300,223927000,141093100,68498300,119629700,197392900,144569800,178995000,146244000,150696200,132499300,59048000,99730900,149684000,152946500,125905400,108739700,99872800,144124500,463491000,176607900,192055100,148065200,159121300,166819300,106232100,91707200,170087700,255238400,193013700,
51,PFE,2012,DD,Health Care,26494000,34225600,28979600,23091300,25329300,22820800,30493000,22233000,25017400,24666400,18790000,21102700,21456700,22868900,23160400,30911000,25743400,21704300,27315700,40290000,24345100,27384000,27934200,26028000,21041900,38285100,54437000,31113600,20428300,29795300,49394000,35681400,32500000,23503800,26120300,31377700,27409100,41918300,35763900,27184700,27960900,25226200,35772100,30872700,29565700,31644100,37192500,28282100,30320100,45533900,31459600,30767400,26888800,30687800,29837500,26458100,25918800,28599700,33083400,29285300,
52,PG,2012,DD,Consumer Staples,8361000,10026700,7698400,6773100,8955100,8588600,11241400,8869500,7792700,6907800,6577000,8200100,8937500,6600700,6537400,8359300,7702700,11061000,7358100,10125600,7516800,8030800,10209600,24479700,11945200,9095400,7703800,6963100,6525700,6639800,8849600,7917700,8147700,4371300,6769100,9680100,9290000,11354200,8741400,7611600,6201400,4598200,7493600,8154300,11255800,8783800,8886800,7404600,6634900,7623400,10686900,11590900,8124100,9298000,8405900,8478200,8997600,8791500,13568900,10304800,
