,TICKER,YEAR,CODE,SECTOR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0,MMM,2016,DR,Industrials,1694000,1853600,2419400,1785600,3166900,2305500,2273400,2249100,1936600,1998700,1554100,1919700,1512400,1229200,1185600,1164200,1210500,2013200,2668500,3826200,2174900,1486400,1934300,2289100,2455600,2233400,2505000,1927500,1930900,1955700,3659300,3280000,1868200,2607000,2177100,2022600,1783700,1711100,1993900,1553300,1477900,945800,1677700,1483200,2595800,1756900,1871500,2181300,1467500,3164300,1790700,2650400,2296100,2708600,2234200,2055600,3889700,1382000,1378200,1555900,
1,AXP,2016,DR,Financials,3580100,4132500,4307000,2770000,3709400,3345000,7975900,4217400,2522900,3926500,3293800,4220500,4963800,3903900,3416600,7888500,25870700,8561200,5174000,3882300,3621800,4751300,4994500,3233400,3761600,3659000,3796500,3429900,4012100,3956000,9319100,9418700,4656100,8084100,4431200,4663700,3797400,5430600,3368200,4086200,4661400,1900400,4467700,3814800,4812500,4298200,2959100,3929100,3843900,5801500,3415800,2566900,3654900,2892900,5415800,4061600,8200600,3076600,3244900,3244500,
2,AAPL,2016,DR,Information Technology,29641100,35887000,36379100,21701800,29736800,21453100,28779300,24358400,36236000,64041000,37586800,35192400,35652200,23624900,24553500,20034600,24125800,23192700,23538700,48129000,66134200,34562000,37861700,26419400,43825800,28331700,26932600,30837000,32560000,24254200,59176400,57134500,34143900,51175500,32264500,58840500,27632000,28428900,29264600,25965500,27426400,11475900,27194000,28528800,36162300,37086900,26528000,34324500,26195500,29998700,27068300,34402600,26374400,43733800,34031800,46524500,44351100,27779400,21425000,23783200,
3,BA,2016,DR,Industrials,1773000,2199400,3118900,2439400,2829200,3137500,3614900,4302000,3343300,3607300,2264200,3544200,2317400,2435100,2271000,2265900,2539700,2205000,3814200,5209100,13272000,7857100,4636100,3075900,3245000,2782100,2280800,2951500,3228200,2823800,5494400,6508300,3585200,4490900,3856600,3559700,3656100,2214400,2825900,3770000,2857500,962300,4728800,3945600,3991000,2843900,2105600,2855900,3476300,2955800,2928400,2707900,4250600,5650400,3640200,2889300,5888300,3002800,2270100,2326000,
4,CAT,2016,DR,Industrials,9497100,10616400,6379100,4294600,4743300,5189500,3786900,3774200,3785700,6471900,3950000,5677000,3601000,4479700,3715700,5943900,4576600,3592500,5096500,11639200,6582100,5003200,4974000,4679400,5139600,5228600,3859000,5745800,3786400,3407700,19281900,14174400,7369900,7552800,4645400,3297200,3942200,4715900,3783200,3172800,6535900,2006900,4916000,3806000,4641900,9361600,5038300,4980300,3663100,4901100,3861600,6550200,3596700,3803300,5647400,4200100,7872700,3856300,4302400,2829300,
5,CVX,2016,DR,Energy,10190900,8148400,9431500,4334700,6505400,5912800,4362900,5844500,5982700,5337300,4935100,7883000,5114700,4540800,4720900,5905700,4820900,5622400,6077300,4730700,6353700,9897800,17435400,12340800,12755600,8405200,5703200,7085400,7333800,8050000,9161800,8739500,7939500,7656000,12156500,7723700,6638100,6815500,8476800,6440500,4472700,3238600,6406700,7461900,17301900,11792300,6167400,6909800,6033600,6434100,5519700,5771600,10044700,8644200,7878400,7458300,13752300,5772500,4319100,5024600,
6,CSCO,2016,DR,Information Technology,15841000,15417100,30380600,14070500,18460400,11808600,14077100,13073200,12759400,19412000,36899900,24286600,20545100,13957500,14444900,14830900,17315300,15140500,14115300,15257800,18008600,16926200,19946800,23225400,17542100,19174000,15937100,18524000,23061100,19399800,38564100,38345000,23150300,22917600,24160200,27097100,75252300,38748600,27481700,26769300,24496800,17678900,21468900,23553700,26224900,25996200,27069500,20865800,27352100,30180100,21369900,21362000,17287800,25052900,27556000,20914100,45875500,18178500,17475200,14488900,
7,KO,2016,DR,Consumer Staples,15523800,12671700,14375700,11152800,13682700,9607300,9722900,8122800,8983600,12249100,12216300,17655600,9893800,10792500,11297300,16367400,10620500,14401500,13439200,16484700,16886200,14537000,13398400,13327500,12223400,12034300,11258000,14464200,14038500,12036600,21351000,33245500,13421000,19514200,16554000,12681400,12398800,16345300,12307000,12743500,9281300,7402300,19424400,11421900,22410400,20409900,11176300,15977800,11303500,13726500,13077100,28125800,17561900,18986000,17937900,14265300,19675200,8687300,10603500,9693600,
8,DD,2016,DR,Materials,4160000,3568300,4672000,4929800,4836700,4472500,5705600,4784800,3664300,3487500,2147200,3176800,3269700,3351000,2994400,4515900,2630200,4617600,3751400,5273800,4561000,7812400,5716800,4183000,4998200,4358900,3407500,4363000,5274600,5745600,7850100,7753600,8692600,5581600,5947300,3288100,2989900,4454300,5237500,7826300,3415700,1752500,4685300,3900200,12869600,7718900,5357100,7960800,6976300,5758200,5688200,4645300,7247900,5099100,6884300,4125800,6942300,4103000,3495700,3737900,
9,XOM,2016,DR,Energy,28117900,19082900,15961500,7111200,8222000,8796200,7718300,6614900,10060000,9309000,8172600,9890300,7991700,7263100,5429300,9373400,6866900,10736200,8354900,6835900,8488100,9071100,19072200,16663800,13050600,11226100,8836500,13877100,13576200,9735200,15901300,14106100,13812200,12607500,12883500,8201200,8200500,8457800,8861500,9390200,5996300,5042300,7449600,9181100,22696200,13005600,9706600,11741100,11293600,11182600,9086700,8021700,15545400,18829300,16325400,11155100,20560400,9674400,7221000,7308000,
